Jaro-Winkler distance,ours,closest CAC match
1.0,3481 Austin Peay Hwy - Memphis - TN - 38128,3481 Austin Peay Hwy - Memphis - TN - 38128
1.0,5366 Mendenhall Mall - Memphis - TN - 38115,5366 Mendenhall Mall - Memphis - TN - 38115
1.0,200 SE Hospital Ave - Stuart - FL - 34994,200 SE Hospital Ave - Stuart - FL - 34994
1.0,364 S Front St - Memphis - TN - 38103,364 S Front St - Memphis - TN - 38103
1.0,1940 N Monroe St - Tallahassee - FL - 32303,1940 N Monroe St - Tallahassee - FL - 32303
1.0,2000 Brookside Dr - Kingsport - TN - 37660,2000 Brookside Dr - Kingsport - TN - 37660
1.0,2030 Temple Hill Rd - Erwin - TN - 37650,2030 Temple Hill Rd - Erwin - TN - 37650
1.0,2975 Maynardville Hwy - Maynardville - TN - 37807,2975 Maynardville Hwy - Maynardville - TN - 37807
1.0,300 Med Tech Pkwy - Johnson City - TN - 37604,300 Med Tech Pkwy - Johnson City - TN - 37604
1.0,2442 Bloomingdale Ave - Valrico - FL - 33596,2442 Bloomingdale Ave - Valrico - FL - 33596
1.0,2060 Sam Rittenberg Blvd - Charleston - SC - 29407,2060 Sam Rittenberg Blvd - Charleston - SC - 29407
1.0,800 W Meeting St - Lancaster - SC - 29720,800 W Meeting St - Lancaster - SC - 29720
1.0,3200 W De Soto St - Pensacola - FL - 32505,3200 W De Soto St - Pensacola - FL - 32505
1.0,1000 Water St - Jacksonville - FL - 32204,1000 Water St - Jacksonville - FL - 32204
1.0,597 W 11th St - Panama City - FL - 32401,597 W 11th St - Panama City - FL - 32401
1.0,550 Peachtree St NE - Atlanta - GA - 30308,550 Peachtree St NE - Atlanta - GA - 30308
1.0,3702 2nd Ave - Columbus - GA - 31904,3702 2nd Ave - Columbus - GA - 31904
1.0,7545 Main St - Woodstock - GA - 30188,7545 Main St - Woodstock - GA - 30188
1.0,91-2141 Fort Weaver Rd - Ewa Beach - HI - 96706,91-2141 Fort Weaver Rd - Ewa Beach - HI - 96706
1.0,1301 Punchbowl St - Honolulu - HI - 96813,1301 Punchbowl St - Honolulu - HI - 96813
1.0,1 Jarrett White Rd - Medical Center - HI - 96859,1 Jarrett White Rd - Medical Center - HI - 96859
1.0,695 W Boughton Rd - Bolingbrook - IL - 60440,695 W Boughton Rd - Bolingbrook - IL - 60440
1.0,259 E Erie St - Chicago - IL - 60611,259 E Erie St - Chicago - IL - 60611
1.0,137 W North Ave - Northlake - IL - 60164,137 W North Ave - Northlake - IL - 60164
1.0,1775 Dempster Street - Park Ridge - IL - 60068,1775 Dempster Street - Park Ridge - IL - 60068
1.0,893 Delaware St - Indianapolis - IN - 46225,893 Delaware St - Indianapolis - IN - 46225
1.0,528 Delaware Ave - Palmerton - PA - 18071,528 Delaware Ave - Palmerton - PA - 18071
1.0,8135 Calumet Ave - Munster - IN - 46321,8135 Calumet Ave - Munster - IN - 46321
1.0,3855 West Chester Pike - Newtown Square - PA - 19073,3855 West Chester Pike - Newtown Square - PA - 19073
1.0,340 Southwest Blvd - Kansas City - KS - 66103,340 Southwest Blvd - Kansas City - KS - 66103
1.0,850 Greenfield Rd - Lancaster - PA - 17601,850 Greenfield Rd - Lancaster - PA - 17601
1.0,124 Daniel Dr - Danville - KY - 40422,124 Daniel Dr - Danville - KY - 40422
1.0,3600 Florida Blvd - Baton Rouge - LA - 70806,3600 Florida Blvd - Baton Rouge - LA - 70806
1.0,2105 Airline Dr - Bossier City - LA - 71111,2105 Airline Dr - Bossier City - LA - 71111
1.0,200 Kennedy Memorial Dr - Waterville - ME - 04901,200 Kennedy Memorial Dr - Waterville - ME - 04901
1.0,1200 Old York Rd - Abington - PA - 19001,1200 Old York Rd - Abington - PA - 19001
1.0,50 Union St - Ellsworth - ME - 04605,50 Union St - Ellsworth - ME - 04605
1.0,200 Memorial Ave - Westminster - MD - 21157,200 Memorial Ave - Westminster - MD - 21157
1.0,863 Nazareth Pike - Nazareth - PA - 18064,863 Nazareth Pike - Nazareth - PA - 18064
1.0,1800 Orleans St - Baltimore - MD - 21287,1800 Orleans St - Baltimore - MD - 21287
1.0,720 Boston Turnpike - Shrewsbury - MA - 01545,720 Boston Turnpike - Shrewsbury - MA - 01545
1.0,1 Citizens Bank Way - Philadelphia - PA - 19148,1 Citizens Bank Way - Philadelphia - PA - 19148
1.0,4122 Market St - Philadelphia - PA - 19104,4122 Market St - Philadelphia - PA - 19104
1.0,334 Carlisle Ave - York - PA - 17404,334 Carlisle Ave - York - PA - 17404
1.0,147 S Main St - Middleton - MA - 01949,147 S Main St - Middleton - MA - 01949
1.0,100 Ter Heun Dr - Falmouth - MA - 02540,100 Ter Heun Dr - Falmouth - MA - 02540
1.0,4805 NE Glisan St - Portland - OR - 97213,4805 NE Glisan St - Portland - OR - 97213
1.0,18101 Oakwood Blvd - Dearborn - MI - 48124,18101 Oakwood Blvd - Dearborn - MI - 48124
1.0,380 Parkland Plaza - Ann Arbor - MI - 48103,380 Parkland Plaza - Ann Arbor - MI - 48103
1.0,1099 S Beacon Blvd - Grand Haven - MI - 49417,1099 S Beacon Blvd - Grand Haven - MI - 49417
1.0,3601 W 13 Mile Rd - Royal Oak - MI - 48073,3601 W 13 Mile Rd - Royal Oak - MI - 48073
1.0,28050 Grand River Ave - Farmington Hills - MI - 48336,28050 Grand River Ave - Farmington Hills - MI - 48336
1.0,44201 Dequindre Rd - Troy - MI - 48085,44201 Dequindre Rd - Troy - MI - 48085
1.0,1000 Harrington St - Mt Clemens - MI - 48043,1000 Harrington St - Mt Clemens - MI - 48043
1.0,874 Barnes Crossing Rd - Tupelo - MS - 38804,874 Barnes Crossing Rd - Tupelo - MS - 38804
1.0,630 W 3rd St - Milan - MO - 63556,630 W 3rd St - Milan - MO - 63556
1.0,10010 Kennerly Rd - St. Louis - MO - 63128,10010 Kennerly Rd - St. Louis - MO - 63128
1.0,5850 Landerbrook Dr - Mayfield Heights - OH - 44124,5850 Landerbrook Dr - Mayfield Heights - OH - 44124
1.0,1926 Oak St - Unionville - MO - 63565,1926 Oak St - Unionville - MO - 63565
1.0,2384 N Memorial Dr - Lancaster - OH - 43130,2384 N Memorial Dr - Lancaster - OH - 43130
1.0,3801 S National Ave - Springfield - MO - 65807,3801 S National Ave - Springfield - MO - 65807
1.0,1600 E Evergreen St - Cameron - MO - 64429,1600 E Evergreen St - Cameron - MO - 64429
1.0,1125 Shadow Ln - Las Vegas - NV - 89102,1125 Shadow Ln - Las Vegas - NV - 89102
1.0,35 Clayton Rd - Arden - NC - 28704,35 Clayton Rd - Arden - NC - 28704
1.0,214 Washington St - Claremont - NH - 03743,214 Washington St - Claremont - NH - 03743
1.0,1059 Canal St - Manchester - NH - 03101,1059 Canal St - Manchester - NH - 03101
